bedroom|bathroom|garage|parking|erf-size|building-size|price
7|7|3|NaN|1,488 m²|1,043 m²|R10,900,000
4|3|1|NaN|672 m²|NaN|R10,750,000
4|3.5|2|NaN|495 m²|297 m²|R10,750,000
2|2.5|NaN|2|NaN|99 m²|R10,750,000
3|3|2|NaN|384 m²|NaN|R10,500,000
3|3.5|2|NaN|368 m²|454 m²|R10,500,000
5|4|2|NaN|982 m²|620 m²|R10,500,000
5|4|2|NaN|1,325 m²|NaN|R10,500,000
3|3|2|NaN|343 m²|NaN|R10,500,000
4|4|2|NaN|1,116 m²|682 m²|R10,500,000
3|1.5|1|1|594 m²|NaN|R10,500,000
4|4.5|NaN|2|NaN|260 m²|R10,000,000
2|2.5|NaN|2|NaN|125 m²|R9,995,000
2|2|NaN|2|190 m²|190 m²|R9,995,000
3|2.5|2|NaN|248 m²|300 m²|R9,995,000
6|4|1|NaN|1,212 m²|NaN|R9,995,000
4|4|2|NaN|987 m²|NaN|R9,990,000
5|2|2|NaN|1,000 m²|NaN|R9,950,000
3|2|NaN|3|NaN|230 m²|R9,950,000
4|5|2|NaN|858 m²|NaN|R9,950,000
5|6|3|NaN|1,971 m²|800 m²|R9,950,000
2|2|NaN|NaN|1,100 m²|200 m²|R9,950,000
5|3|1|NaN|737 m²|NaN|R9,950,000
3|3|NaN|2|NaN|251 m²|R9,950,000
4|3|NaN|NaN|449 m²|152 m²|R9,950,000
5|7|3|4|736 m²|510 m²|R9,900,000
2|2|NaN|2|NaN|135 m²|R9,900,000
3|3.5|NaN|2|NaN|217 m²|R9,850,000
4|3|3|NaN|512 m²|NaN|R9,800,000
6|4.5|3|NaN|1,236 m²|600 m²|R9,800,000
3|3|NaN|NaN|511 m²|166 m²|R9,800,000
6|4|8|NaN|1,363 m²|1,001 m²|R9,799,995
5|4|2|NaN|772 m²|550 m²|R9,690,000
4|3.5|2|NaN|496 m²|426 m²|R9,520,000
2|2|NaN|1|NaN|113 m²|R9,500,000
3|3.5|1|NaN|NaN|190 m²|R9,500,000
4|3|NaN|NaN|402 m²|300 m²|R9,500,000
3|3.5|2|NaN|291 m²|NaN|R9,495,000
4|4|2|NaN|1,172 m²|571 m²|R9,200,000
NaN|2|NaN|NaN|946 m²|NaN|R9,000,000
2|2.5|NaN|2|NaN|135 m²|R8,995,000
3|3|1|NaN|862 m²|NaN|R8,995,000
2|2|NaN|2|639 m²|138 m²|R8,950,000
3|3|2|NaN|496 m²|NaN|R8,950,000
4|5|3|NaN|925 m²|700 m²|R8,950,000
3|1|1|NaN|765 m²|220 m²|R8,950,000
4|4|2|NaN|700 m²|299 m²|R8,850,000
4|3|2|NaN|1,100 m²|330 m²|R8,850,000
1|1|NaN|1|240 m²|62 m²|R8,850,000
4|3|NaN|NaN|163 m²|NaN|R8,750,000
3|3.5|2|NaN|366 m²|NaN|R8,750,000
2|2|1|NaN|NaN|168 m²|R8,700,000
8|5|4|NaN|636 m²|500 m²|R8,600,000
4|3|2|NaN|851 m²|430 m²|R8,595,000
4|3|2|NaN|491 m²|NaN|R8,500,000
5|5.5|4|NaN|718 m²|500 m²|R8,500,000
4|4.5|2|NaN|1,767 m²|450 m²|R8,500,000
5|4.5|5|NaN|1,200 m²|850 m²|R8,500,000
4|3.5|2|NaN|701 m²|348 m²|R8,499,500
5|2.5|1|NaN|991 m²|NaN|R8,450,000
3|2|NaN|2|NaN|107 m²|R8,450,000
1|1.5|NaN|NaN|NaN|71 m²|R8,400,000
1|1|NaN|NaN|NaN|59 m²|R8,395,000
3|2|1|1|NaN|133 m²|R8,250,000
3|2|2|2|NaN|254 m²|R8,250,000
5|5|2|NaN|598 m²|480 m²|R8,200,000
3|3.5|2|NaN|1,121 m²|340 m²|POA
4|5|3|NaN|654 m²|300 m²|R7,999,000
4|3|1|NaN|424 m²|NaN|R7,999,000
4|4|2|NaN|NaN|192 m²|R7,999,000
3|2|2|NaN|457 m²|NaN|R7,950,000
5|4|2|NaN|702 m²|410 m²|R7,950,000
2|3|2|NaN|1,080 m²|329 m²|R7,950,000
4|3|2|NaN|2,002 m²|NaN|R7,950,000
4|2|2|NaN|1,006 m²|NaN|R7,900,000
1|2|NaN|NaN|NaN|83 m²|R7,850,000
3|2|1|NaN|NaN|177 m²|R7,800,000
6|4|3|NaN|1,379 m²|547 m²|R7,795,000
4|2.5|2|NaN|1,970 m²|514 m²|R7,750,000
2|2|NaN|2|NaN|156 m²|R7,750,000
4|3.5|2|NaN|1,357 m²|NaN|R7,750,000
5|4|3|NaN|1,666 m²|440 m²|R7,750,000
2|2|NaN|1|NaN|169 m²|R7,700,000
5|3.5|2|NaN|751 m²|370 m²|R7,700,000
2|2|1|NaN|NaN|161 m²|R7,700,000
3|3|NaN|NaN|1,409 m²|550 m²|R7,695,000
3|3|NaN|1|NaN|130 m²|R7,695,000
3|2|NaN|NaN|356 m²|180 m²|R7,695,000
4|4|2|NaN|621 m²|404 m²|R7,650,000
3|3|NaN|1|109 m²|109 m²|R7,630,000
5|3|2|NaN|749 m²|341 m²|R7,598,000
3|3.5|2|NaN|287 m²|287 m²|R7,500,000
6|5|2|NaN|804 m²|490 m²|R7,500,000
3|2.5|1|1|NaN|192 m²|R7,500,000
7|6|2|NaN|1,104 m²|600 m²|R7,500,000
6|7|2|NaN|795 m²|NaN|R7,500,000
3|2|2|NaN|228 m²|NaN|R7,495,000
3|2.5|NaN|2|166 m²|260 m²|R7,495,000
3|2.5|NaN|NaN|447 m²|NaN|R7,450,000
2|2|NaN|2|455 m²|153 m²|R7,450,000
4|3|2|NaN|743 m²|NaN|R7,400,000
5|4.5|2|NaN|1,547 m²|NaN|R7,400,000
3|3.5|2|NaN|710 m²|335 m²|R7,395,000
4|4|2|3|473 m²|563 m²|R7,350,000
2|2|NaN|NaN|71 m²|210 m²|R7,295,000
3|2|1|NaN|NaN|132 m²|R7,250,000
3|2.5|NaN|2|NaN|177 m²|R7,250,000
2|2.5|NaN|2|NaN|154 m²|R7,245,000
3|2.5|NaN|2|181 m²|181 m²|R7,200,000
4|2|1|NaN|448 m²|237 m²|R7,100,000
4|2|2|NaN|1,939 m²|415 m²|R6,999,999
3|2|2|NaN|695 m²|260 m²|R6,999,000
3|2.5|NaN|NaN|331 m²|NaN|R6,999,000
3|2|1|NaN|NaN|148 m²|R6,997,000
3|3|NaN|2|NaN|180 m²|R6,995,000
4|2|6|NaN|967 m²|NaN|POA
3|2|1|NaN|NaN|214 m²|R6,950,000
4|3|2|NaN|1,010 m²|340 m²|R6,950,000
4|2|2|NaN|1,452 m²|430 m²|R6,950,000
1|1|NaN|NaN|93 m²|93 m²|R6,950,000
4|3|2|NaN|934 m²|300 m²|R6,950,000
5|2.5|4|NaN|1,184 m²|500 m²|R6,900,000
3|2|NaN|3|NaN|227 m²|R6,890,000
3|4|2|NaN|305 m²|NaN|R6,850,000
4|4|2|NaN|700 m²|371 m²|R6,800,000
4|3.5|2|NaN|794 m²|377 m²|R6,800,000
4|2|2|NaN|271 m²|NaN|R6,800,000
3|1.5|1|NaN|708 m²|NaN|R6,800,000
7|7|2|NaN|1,348 m²|450 m²|R6,795,000
6|3|4|4|765 m²|366 m²|R6,750,000
3|2|NaN|NaN|171 m²|NaN|R6,700,000
3|2|2|NaN|892 m²|390 m²|R6,695,000
4|3.5|2|NaN|739 m²|NaN|R6,695,000
2|2.5|NaN|2|NaN|141 m²|R6,695,000
3|2|NaN|1|NaN|133 m²|R6,600,000
3|2|NaN|2|NaN|175 m²|R6,575,000
2|2|NaN|2|NaN|270 m²|R6,550,000
2|2.5|2|NaN|NaN|122 m²|R6,500,000
3|3|1|NaN|NaN|143 m²|R6,500,000
5|3|2|NaN|1,113 m²|500 m²|R6,500,000
4|4|2|NaN|1,025 m²|460 m²|R6,500,000
3|2.5|2|NaN|440 m²|NaN|R6,495,000
3|2|3|NaN|1,085 m²|NaN|R6,495,000
3|2|1|NaN|595 m²|NaN|R6,495,000
2|2|NaN|2|NaN|176 m²|R6,495,000
5|4.5|3|NaN|1,200 m²|NaN|R6,495,000
5|3.5|3|NaN|1,974 m²|NaN|R6,450,000
3|3|2|NaN|165 m²|251 m²|R6,400,000
5|4|3|NaN|1,198 m²|560 m²|R6,400,000
